emp_no,first_name,last_name,gender,salary,to_date
10198,Pranav,Furedi,M,44076,1/1/9999
10001,Georgi,Facello,M,60117,1/1/9999
10004,Chirstian,Koblick,M,40054,1/1/9999
10009,Sumant,Peac,F,60929,1/1/9999
10018,Kazuhide,Peha,F,55881,1/1/9999
10035,Alain,Chappelet,M,41538,1/1/9999
10053,Sanjiv,Zschoche,F,67854,1/1/9999
10058,Berhard,McFarlin,M,52787,1/1/9999
10066,Kwee,Schusler,M,69736,1/1/9999
10067,Claudi,Stavenow,M,44642,1/1/9999
10070,Reuven,Garigliano,M,55999,1/1/9999
10072,Hironoby,Sidou,F,40000,1/1/9999
10076,Erez,Ritzmann,F,47319,1/1/9999
10088,Jungsoon,Syrzycki,F,65957,1/1/9999
10100,Hironobu,Haraldson,F,54398,1/1/9999
10103,Akemi,Birch,M,68158,1/1/9999
10126,Kayoko,Valtorta,M,40000,1/1/9999
10129,Armond,Peir,M,40000,1/1/9999
10130,Nishit,Casperson,M,40000,1/1/9999
10134,Diederik,Siprelle,M,40000,1/1/9999
10138,Perry,Shimshoni,M,53574,1/1/9999
10150,Zhenbing,Perng,F,70122,1/1/9999
10153,Heekeun,Majewski,M,54246,1/1/9999
10157,Nigel,Aloisi,M,48770,1/1/9999
10372,Anneli,Frijda,F,54505,1/1/9999
10387,Parto,Wrigley,F,61374,1/1/9999
10396,Sibyl,Rahier,M,40393,1/1/9999
10402,Volkmar,Ebeling,M,40000,1/1/9999
10404,Prodip,Rosti,F,51647,1/1/9999
10426,Arunas,Luce,F,65757,1/1/9999
10429,Martien,Improta,F,40000,1/1/9999
10432,Hisao,Tiemann,F,40000,1/1/9999
10451,Bodh,Ranta,F,46275,1/1/9999
10453,Tsvetan,Matzel,F,40000,1/1/9999
10463,Ung,Zaiane,M,66480,1/1/9999
10486,Amstein,Kossowski,F,71692,1/1/9999
10494,Yakkov,Servieres,F,50094,1/1/9999
10504,Xiong,Varker,M,43931,1/1/9999
10512,Udi,Gihr,M,40000,1/1/9999
10522,Marke,Cesareni,F,40000,1/1/9999
10548,Ramalingam,Gunderson,M,90631,1/1/9999
10564,Jianhao,Thisen,M,46660,1/1/9999
10623,Aleksander,Danlos,F,60268,1/1/9999
10628,Krisda,Krogh,M,41650,1/1/9999
10631,Inderjeet,Chaudhuri,M,40000,1/1/9999
10642,Hirochika,Narlikar,M,40000,1/1/9999
10653,Otmar,Feinberg,M,40000,1/1/9999
10671,Parviz,Rebaine,M,74037,1/1/9999
10676,Valeri,Danley,F,58226,1/1/9999
10693,Berhard,Daescu,F,40000,1/1/9999
10702,Bader,Szemeredi,M,46581,1/1/9999
10718,Adib,Rullman,M,75473,1/1/9999
10726,Zita,Minakawa,F,46315,1/1/9999
10734,Sachar,Erdi,M,47377,1/1/9999
10745,Poorav,Ranze,F,40000,1/1/9999
10749,King,Brendel,M,60829,1/1/9999
10767,Monique,Doering,F,40651,1/1/9999
10768,Ishfaq,Candan,M,65717,1/1/9999
10778,Selwyn,Merey,M,64996,1/1/9999
10791,Tadahiko,Sgarro,M,40000,1/1/9999
10795,Supot,Naudin,M,84206,1/1/9999
10808,Chenxi,Leijenhorst,M,40000,1/1/9999
10835,Tomoyuki,Kermarrec,M,40000,1/1/9999
10836,Jianhua,Leivant,F,65502,1/1/9999
10844,Dipayan,Koprowski,M,40000,1/1/9999
10847,Theirry,Danley,M,40000,1/1/9999
10848,Fen,Bratsberg,F,50475,1/1/9999
10878,Lakshmi,Deville,M,72102,1/1/9999
10879,Muzhong,Chleq,F,65651,1/1/9999
10883,Shimshon,Champarnaud,M,40000,1/1/9999
10909,Georgi,Atchley,M,80935,1/1/9999
10921,Mara,Bahi,F,72601,1/1/9999
10924,Hironoby,Atchley,F,84783,1/1/9999
10927,Gal,Scallan,M,51819,1/1/9999
10936,Mountaz,Schicker,F,40000,1/1/9999
10943,Berna,Skafidas,M,45890,1/1/9999
10965,Eckart,Braunschweig,M,61654,1/1/9999
10969,Premal,Noriega,M,40000,1/1/9999
10974,Muneo,Papsdorf,M,56005,1/1/9999
10986,Masako,Schiper,M,43900,1/1/9999
10988,Chinya,Deyuan,M,54174,1/1/9999
10989,Sumali,Candan,F,46406,1/1/9999
10990,Shin,Foote,M,40000,1/1/9999
11009,Alper,Axelband,F,75111,1/1/9999
11012,Taegyun,Speckmann,F,72092,1/1/9999
11019,Leon,Huttel,M,69387,1/1/9999
11021,Srinidhi,Henders,F,62670,1/1/9999
11027,Remzi,Cappello,M,40000,1/1/9999
11031,Ottavia,Walstra,M,71654,1/1/9999
11037,Lansing,Maliniak,M,40000,1/1/9999
11038,Jinya,Beidas,M,44993,1/1/9999
11042,Gou,Breugel,F,40000,1/1/9999
11048,Jaques,Demke,M,65697,1/1/9999
11050,Elvis,Katiyar,M,52251,1/1/9999
11051,Przemyslawa,Erol,F,40000,1/1/9999
11070,Adib,Raney,M,40000,1/1/9999
11081,Barry,Boyle,M,65686,1/1/9999
11085,Hailing,Thummel,M,66437,1/1/9999
10215,Xiaobin,Duclos,M,43944,1/1/9999
11100,Berna,Cochrane,M,40000,1/1/9999
11106,Aris,Iwayama,F,71446,1/1/9999
10224,Leon,Trogemann,M,40000,1/1/9999
10233,Lein,Vendrig,F,40000,1/1/9999
11112,Boaz,Mukaidono,M,40000,1/1/9999
11113,Shahab,Peng,F,66401,1/1/9999
10258,Basil,Ishibashi,F,66280,1/1/9999
11121,Vugranam,Kakkad,F,40000,1/1/9999
11133,Nalini,Azulay,M,40000,1/1/9999
11134,Sachar,Rajcani,F,58731,1/1/9999
11137,Hugh,Luca,M,40000,1/1/9999
11139,Bogdan,Homond,F,63596,1/1/9999
10272,Yishai,Cannane,M,58070,1/1/9999
11146,Ishfaq,Masand,F,96019,1/1/9999
11148,Zhanqiu,Botman,F,56344,1/1/9999
11162,Kauko,Narlikar,F,69873,1/1/9999
10282,Hercules,Benzmuller,M,40000,1/1/9999
11180,Mitsuyuki,Bojadziev,F,40000,1/1/9999
10283,Kauko,Birjandi,M,40000,1/1/9999
11197,Tadahiro,Fordan,M,88741,1/1/9999
10326,Masali,Czap,F,40000,1/1/9999
11204,Diederik,Covnot,M,40000,1/1/9999
11207,Saeed,Gips,F,49728,1/1/9999
11208,Saniya,Valtorta,F,83660,1/1/9999
11211,Yurij,Rissland,M,72668,1/1/9999
11217,Kellie,Mawatari,M,40000,1/1/9999
11232,Hidefumi,Crelier,M,43863,1/1/9999
11240,Kiam,Condotta,M,61739,1/1/9999
11249,Randi,Cyre,M,43324,1/1/9999
11251,Bezalel,Chinal,M,69432,1/1/9999
10340,Djelloul,Laventhal,M,68132,1/1/9999
11268,Aimee,Petersohn,F,40000,1/1/9999
11275,Hitomi,Eppinger,F,58382,1/1/9999
11290,Visit,Dredge,M,65034,1/1/9999
10347,Pradeep,Kaminger,M,42199,1/1/9999
11295,Abdelkader,Lanzelotte,M,66622,1/1/9999
11319,Pranas,Marrakchi,F,40000,1/1/9999
11320,Atilio,McAlpine,M,45118,1/1/9999
11322,Nathalie,Pocchiola,F,43021,1/1/9999
11324,Kauko,Billingsley,F,54288,1/1/9999
11338,Kwangsub,Hanratty,M,82210,1/1/9999
11339,Flemming,Massonet,M,40000,1/1/9999
11347,Anneli,Jonsson,M,41524,1/1/9999
11365,Toshimi,Shinomoto,M,56463,1/1/9999
11376,Valery,Suomi,M,46964,1/1/9999
11380,Kenroku,Pelc,M,53345,1/1/9999
11385,Shiv,Ullian,M,40000,1/1/9999
11386,Alselm,Assaf,F,47726,1/1/9999
11393,Junsik,Junot,M,40000,1/1/9999
11398,Oscar,Peir,M,44625,1/1/9999
11404,Bedrich,Borovoy,M,42907,1/1/9999
11415,Sanjiv,Anido,M,40000,1/1/9999
11421,Josyula,Msuda,F,52416,1/1/9999
11441,Marlo,Aingworth,M,67352,1/1/9999
11449,Kotesh,Asser,M,61434,1/1/9999
11459,Duke,Suomi,M,40000,1/1/9999
11469,Guttorm,Giaccio,M,44625,1/1/9999
10355,Satyanarayana,Cochrane,M,70434,1/1/9999
10356,Vasilis,Standera,M,45376,1/1/9999
11506,Rance,Picel,F,89747,1/1/9999
11509,Aleksander,Feldhoffer,M,40000,1/1/9999
11513,Otmar,Mahnke,M,82525,1/1/9999
11515,Ulf,Basawa,F,70182,1/1/9999
11518,Jinxi,Oxman,M,40000,1/1/9999
10364,Nakhoon,Dengi,M,51401,1/1/9999
11524,Xiadong,Standera,M,41081,1/1/9999
11527,Alagu,Boyle,M,60212,1/1/9999
11528,Zito,Dolinsky,M,44026,1/1/9999
11673,Henk,Felder,F,40000,1/1/9999
11537,DAIDA,Pehl,M,96023,1/1/9999
11554,Subhash,Taubenfeld,M,46065,1/1/9999
11555,Kotesh,Perfilyeva,M,40000,1/1/9999
11567,Teiji,Mitzlaff,M,86261,1/1/9999
11568,Martins,Fujisaki,M,54673,1/1/9999
11676,Valeri,Ferriere,F,43310,1/1/9999
11681,Fumitake,Benzmuller,F,40000,1/1/9999
11684,Oksana,Gide,F,68753,1/1/9999
11696,Dante,Rothe,M,51633,1/1/9999
11603,Herb,Swen,F,69180,1/1/9999
11607,Tomokazu,Foong,F,49584,1/1/9999
11615,Shem,Isaak,F,46591,1/1/9999
11624,Adil,Gammage,M,42001,1/1/9999
11732,Sanjoy,Ranft,F,40000,1/1/9999
11628,Fan,Malinowski,M,43966,1/1/9999
11640,Valeri,Coorg,M,52520,1/1/9999
11647,Magy,Nitsche,M,40000,1/1/9999
11660,Gill,Stenning,F,65758,1/1/9999
11853,Zeljko,Kusakabe,F,61941,1/1/9999
11735,Amalendu,Picci,M,40000,1/1/9999
11857,Divier,Farrag,F,94805,1/1/9999
11864,Pradeep,Kriebel,F,52517,1/1/9999
11871,Nalini,Sommen,M,67424,1/1/9999
11872,Cheong,Riexinger,M,43159,1/1/9999
11746,Koichi,Marrakchi,F,55951,1/1/9999
11751,Jiafu,Emiris,M,40000,1/1/9999
11894,Mitchel,Validov,M,56198,1/1/9999
11897,Cordelia,Setlzner,M,80049,1/1/9999
11764,Sanjay,Anick,F,64875,1/1/9999
11906,Hideo,Boguraev,F,81324,1/1/9999
11915,Miomir,Mawatari,M,58042,1/1/9999
11769,Chandrasekaran,Lampe,M,40000,1/1/9999
11931,Gunilla,Chiodo,F,73369,1/1/9999
11933,Basil,Erman,M,56130,1/1/9999
11772,Gaurav,Penz,F,61295,1/1/9999
11797,Chenxi,Thambidurai,M,88050,1/1/9999
11949,Martijn,Harbusch,M,40000,1/1/9999
11810,Amabile,Bhattacharjee,M,41256,1/1/9999
11817,Niranjan,Markovitch,M,50638,1/1/9999
11983,Jaana,Hedayat,M,40000,1/1/9999
11832,Arto,Zlotek,M,40000,1/1/9999
11993,Marit,Dalphin,M,56505,1/1/9999
11844,Shawna,Demeyer,M,78049,1/1/9999
12011,Zhilian,Coorg,F,85833,1/1/9999
12221,Vincent,Melter,M,56736,1/1/9999
12222,Abdelwaheb,Holburn,F,55840,1/1/9999
12223,Niteen,Koyama,F,54459,1/1/9999
12036,Mads,Ratzlaff,M,67143,1/1/9999
12037,Arunas,Katzenelson,M,47805,1/1/9999
12247,Subbu,Penttonen,F,59183,1/1/9999
12050,Yuchang,Tchuente,F,46704,1/1/9999
12062,Margareta,Worfolk,M,44199,1/1/9999
12069,Ayonca,Burnard,M,51928,1/1/9999
12070,Ger,Shokrollahi,M,50233,1/1/9999
12076,Karlis,Siprelle,F,75381,1/1/9999
12082,Xinan,Yamaashi,M,72118,1/1/9999
12249,Eldridge,Sadowski,M,70099,1/1/9999
12089,Bilhanan,Socorro,M,46288,1/1/9999
12256,Guadalupe,Reghbati,F,40000,1/1/9999
